,"English name","OCG status","OCG debut date","TCG status","TCG debut date","TCG Speed Duel status","TCG Speed Duel debut date"
"Xyz Unbreakable Barrier","Xyz Unbreakable Barrier","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Masterwork - Succession","Artmegia Masterwork - Succession","Not yet released","26 April 2025","Not yet released",,,
"Psychic Blaster Mk-II","Psychic Blaster Mk-II","Not yet released","26 April 2025","Not yet released",,,
"Rebellion of the Monarchs","Rebellion of the Monarchs","Not yet released","26 April 2025","Not yet released",,,
"Medius the Innocent","Medius the Innocent","Not yet released","26 April 2025","Not yet released",,,
"Sky Striker Ace = Zero","Sky Striker Ace = Zero","Not yet released","26 April 2025","Not yet released",,,
"Guilt Gripping Morganite","Guilt Gripping Morganite","Not yet released","26 April 2025","Not yet released",,,
"Number F0: Utopic Future Zexal","Number F0: Utopic Future Zexal","Not yet released","26 April 2025","Not yet released",,,
"Layer 19: ""Preventing the Invasion! The Pitch-Black Super Quantum!!""","Layer 19: ""Preventing the Invasion! The Pitch-Black Super Quantum!!""","Not yet released","26 April 2025","Not yet released",,,
"Prototype Psychic Blaster","Prototype Psychic Blaster","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Diaktoros","Artmegia Diaktoros","Not yet released","26 April 2025","Not yet released",,,
"Inferno of the Ashened","Inferno of the Ashened","Not yet released","26 April 2025","Not yet released",,,
"Legend of Justice Kaibaman","Legend of Justice Kaibaman","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Vandalism - Assault","Artmegia Vandalism - Assault","Not yet released","26 April 2025","Not yet released",,,
"Zubababa Knight","Zubababa Knight","Not yet released","26 April 2025","Not yet released",,,
"Parallel Teleport","Parallel Teleport","Not yet released","26 April 2025","Not yet released",,,
"Culmination of the Monarchs","Culmination of the Monarchs","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Finemelt","Artmegia Finemelt","Not yet released","26 April 2025","Not yet released",,,
"Leo Wizard, the Dark Mage","Leo Wizard, the Dark Mage","Not yet released","26 April 2025","Not yet released",,,
"Gagagaga Girl","Gagagaga Girl","Not yet released","26 April 2025","Not yet released",,,
"Nerva the Imprisoned Deity of Creation","Nerva the Imprisoned Deity of Creation","Not yet released","26 April 2025","Not yet released",,,
"Absolute Axon Kicker","Absolute Axon Kicker","Not yet released","26 April 2025","Not yet released",,,
"Eidos the Underworld Monarch","Eidos the Underworld Monarch","Not yet released","26 April 2025","Not yet released",,,
"Vallon, the Psychic Skyblaster","Vallon, the Psychic Skyblaster","Not yet released","26 April 2025","Not yet released",,,
"Argostars - Courageous Arion","Argostars - Courageous Arion","Not yet released","26 April 2025","Not yet released",,,
"Artmegia Banish - Change","Artmegia Banish - Change","Not yet released","26 April 2025","Not yet released",,,
"Gagaga Ganbara Knight","Gagaga Ganbara Knight","Not yet released","26 April 2025","Not yet released",,,
"Teleport Fusion","Teleport Fusion","Not yet released","26 April 2025","Not yet released",,,
"Prototype Sky Striker Ace - Amatsu","Prototype Sky Striker Ace - Amatsu","Not yet released","21 April 2025","Not yet released",,,
"Anotherverse Stradios","Anotherverse Stradios",Unlimited,"12 April 2025","Not yet released",,,
"Invoked Magistus Omega","Invoked Magistus Omega",Unlimited,"4 April 2025","Not yet released",,,
"Stinger the Electric Expeller","Stinger the Electric Expeller",Unlimited,"1 April 2025","Not yet released",,,
Cupsie☆Yummy,Cupsie☆Yummy,Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Fymena","Dragon Tail Fymena",Unlimited,"22 March 2025","Not yet released",,,
Yummy☆Surprise,Yummy☆Surprise,Unlimited,"22 March 2025","Not yet released",,,
"K9 - 17 Izuna","K9 - #17 Izuna",Unlimited,"22 March 2025","Not yet released",,,
"Lollipo★Yummy Way","Lollipo★Yummy Way",Unlimited,"22 March 2025","Not yet released",,,
"Ketu Dragon Tail","Ketu Dragon Tail",Unlimited,"22 March 2025","Not yet released",,,
"K9 - EX ""Werewolf""","K9 - EX ""Werewolf""",Unlimited,"22 March 2025","Not yet released",,,
Cooky☆Yummy,Cooky☆Yummy,Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Pan","Dragon Tail Pan",Unlimited,"22 March 2025","Not yet released",,,
"K9 - 66a Jokull","K9 - #66a Jokull",Unlimited,"22 March 2025","Not yet released",,,
"K9 - 17 ""Ripper""","K9 - #17 ""Ripper""",Unlimited,"22 March 2025","Not yet released",,,
Yummy★Snatchy,Yummy★Snatchy,Unlimited,"22 March 2025","Not yet released",,,
"Rahu Dragon Tail","Rahu Dragon Tail",Unlimited,"22 March 2025","Not yet released",,,
"K9 - LC Liberation","K9 - LC Liberation",Unlimited,"22 March 2025","Not yet released",,,
Lollipo☆Yummy,Lollipo☆Yummy,Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Urgula","Dragon Tail Urgula",Unlimited,"22 March 2025","Not yet released",,,
"K9 - 66b Lantern","K9 - #66b Lantern",Unlimited,"22 March 2025","Not yet released",,,
Yummy★Redemption,Yummy★Redemption,Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Horn","Dragon Tail Horn",Unlimited,"22 March 2025","Not yet released",,,
"K9 - EX Forced Liberation","K9 - EX Forced Liberation",Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Mulr","Dragon Tail Mulr",Unlimited,"22 March 2025","Not yet released",,,
"Cooky★Yummy Way","Cooky★Yummy Way",Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Altharion","Dragon Tail Altharion",Unlimited,"22 March 2025","Not yet released",,,
"K9 - ØØ Lupus","K9 - #ØØ Lupus",Unlimited,"22 March 2025","Not yet released",,,
Yummysment☆Minion,Yummysment☆Minion,Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Flame","Dragon Tail Flame",Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Lucias","Dragon Tail Lucias",Unlimited,"22 March 2025","Not yet released",,,
"K9 - EW Experimental Liberation","K9 - EW Experimental Liberation",Unlimited,"22 March 2025","Not yet released",,,
"Cupsie★Yummy Way","Cupsie★Yummy Way",Unlimited,"22 March 2025","Not yet released",,,
"Dragon Tail Gramel","Dragon Tail Gramel",Unlimited,"22 March 2025","Not yet released",,,
"""Case of K9""","""Case of K9""",Unlimited,"22 March 2025","Not yet released",,,
"K9 - ØØ ""Hound""","K9 - #ØØ ""Hound""",Unlimited,"22 March 2025","Not yet released",,,
Yummysment★Acrockie,Yummysment★Acrockie,Unlimited,"22 March 2025","Not yet released",,,
"Veiss Shark","Veiss Shark",Unlimited,"21 March 2025","Not yet released",,,
"Soul of Gaia the Fierce Knight","Soul of Gaia the Fierce Knight",Unlimited,"21 March 2025","Not yet released",,,
Darkuriboh,Darkuriboh,Unlimited,"19 March 2025","Not yet released",,,
"Moon Magician","Moon Magician",Unlimited,"19 March 2025","Not yet released",,,
"Moon Gardna","Moon Gardna",Unlimited,"19 March 2025","Not yet released",,,
"Starship Adjust Plane","Starship Adjust Plane",Unlimited,"19 March 2025","Not yet released",,,
"Merciless Scorpion of Serket","Merciless Scorpion of Serket","Not yet released",,Unlimited,"13 March 2025",,
"Divine Scorpion Beast of Serket","Divine Scorpion Beast of Serket","Not yet released",,Unlimited,"13 March 2025",,
"Apophis the Serpent","Apophis the Serpent","Not yet released",,Unlimited,"13 March 2025",,
"Treasures of the Kings","Treasures of the Kings","Not yet released",,Unlimited,"13 March 2025",,
"The Man with the Mark","The Man with the Mark","Not yet released",,Unlimited,"13 March 2025",,
"Divine Serpent Apophis","Divine Serpent Apophis","Not yet released",,Unlimited,"13 March 2025",,
"Verdict of Anubis","Verdict of Anubis","Not yet released",,Unlimited,"13 March 2025",,
"Defense of the Temple","Defense of the Temple","Not yet released",,Unlimited,"13 March 2025",,
"Anubis the Last Judge","Anubis the Last Judge","Not yet released",,Unlimited,"13 March 2025",,
"Dangers of the Divine","Dangers of the Divine","Not yet released",,Unlimited,"13 March 2025",,
"Soulicer Crystal","Soulicer Crystal",Unlimited,"20 February 2025","Not yet released",,,
"Kurikurinku @Ignister","Kurikurinku @Ignister",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Snake-Eyes Execute Dragon","Snake-Eyes Execute Dragon",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Dragon Vayikra","Regenesis Dragon Vayikra",Unlimited,"25 January 2025","Not yet released",,,
"Argostars - Giant Hunting","Argostars - Giant Hunting",Unlimited,"25 January 2025","Not yet released",,,
"Ryu-Ge End","Ryu-Ge End",Unlimited,"25 January 2025","Not yet released",,,
"Star Ryzeal","Star Ryzeal",Unlimited,"25 January 2025","Not yet released",,,
PA.I.rtners,PA.I.rtners,Unlimited,"25 January 2025","Not yet released",,,
"Angelcaido of the Golden Land","Angelcaido of the Golden Land",Unlimited,"25 January 2025","Not yet released",,,
"Seven Stars Slash - Army Annihilator Hagun","Seven Stars Slash - Army Annihilator Hagun",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Legendary Lord Six Samurai - Kizan","Legendary Lord Six Samurai - Kizan",Unlimited,"25 January 2025","Not yet released",,,
"Heraldic Beast Gryphon","Heraldic Beast Gryphon",Unlimited,"25 January 2025","Not yet released",,,
"Jura the Curse-Thunder Deity","Jura the Curse-Thunder Deity",Unlimited,"25 January 2025","Not yet released",,,
"Prima Materiactor","Prima Materiactor",Unlimited,"25 January 2025","Not yet released",,,
"Firewing Pegasus, the Crimson Heavenly Horse","Firewing Pegasus, the Crimson Heavenly Horse",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Dragon","Regenesis Dragon",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
Abduction,Abduction,Unlimited,"25 January 2025","Not yet released",,,
"The World of Spirits","The World of Spirits",Unlimited,"25 January 2025","Not yet released",,,
"Disaster, Dragon Ruler of All Apocalypses","Disaster, Dragon Ruler of All Apocalypses",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Dark Magician Girl the Magician's Apprentice","Dark Magician Girl the Magician's Apprentice",Unlimited,"25 January 2025","Not yet released",,,
"Firewall Saber Dragon","Firewall Saber Dragon",Unlimited,"25 January 2025","Not yet released",,,
"Allied Code Talker @Ignister","Allied Code Talker @Ignister",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Mystic Mystery of the White Forest","Mystic Mystery of the White Forest",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis (card)",Regenesis,Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Dragon's Mind","Dragon's Mind",Unlimited,"25 January 2025","Not yet released",,,
"Eldlixir of the Glorious Golden Land","Eldlixir of the Glorious Golden Land",Unlimited,"25 January 2025","Not yet released",,,
"Ryzeal Mass Driver","Ryzeal Mass Driver",Unlimited,"25 January 2025","Not yet released",,,
"Regulus the Fairy Beast","Regulus the Fairy Beast",Unlimited,"25 January 2025","Not yet released",,,
"Spectral, Dragon Ruler of Flickers","Spectral, Dragon Ruler of Flickers",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Number 69: Heraldry Crest - Shatter Stream","Number 69: Heraldry Crest - Shatter Stream",Unlimited,"25 January 2025","Not yet released",,,
"Red-Eyes Metal Claws Dragon","Red-Eyes Metal Claws Dragon",Unlimited,"25 January 2025","Not yet released",,,
"Diabellstar the Sin Adjudicator","Diabellstar the Sin Adjudicator",Unlimited,"25 January 2025","Not yet released",,,
"Ferociously Angered Sabersaurus","Ferociously Angered Sabersaurus",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Code","Regenesis Code",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Eternal Sunshine","Eternal Sunshine",Unlimited,"25 January 2025","Not yet released",,,
"Here There Be Dragons","Here There Be Dragons",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Tensei Ryu-Ge Anva","Tensei Ryu-Ge Anva",Unlimited,"25 January 2025","Not yet released",,,
"Code Igniter","Code Igniter",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Archfiend","Regenesis Archfiend",Unlimited,"25 January 2025","Not yet released","25 April 2025",,
"Cyberdark Wurm","Cyberdark Wurm",Unlimited,"25 January 2025","Not yet released",,,
"A.I. Connect","A.I. Connect",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Curse of Diabell","Curse of Diabell",Unlimited,"25 January 2025","Not yet released",,,
"Moissa Wight","Moissa Wight",Unlimited,"25 January 2025","Not yet released",,,
"Torah Regenesis","Torah Regenesis",Unlimited,"25 January 2025","Not yet released",,,
"Gordian Schneider","Gordian Schneider",Unlimited,"25 January 2025","Not yet released",,,
"Cyber Jormungardr","Cyber Jormungardr",Unlimited,"25 January 2025","Not yet released",,,
"Brain Controller","Brain Controller",Unlimited,"25 January 2025","Not yet released",,,
"Spore the Fairy Cell","Spore the Fairy Cell",Unlimited,"25 January 2025","Not yet released",,,
"Nebulus, Dragon Ruler of Mishaps","Nebulus, Dragon Ruler of Mishaps",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Chaotic Elements","Chaotic Elements",Unlimited,"25 January 2025","Not yet released",,,
"Wizard @Ignister","Wizard @Ignister",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Number 69: Heraldry Crest - Dark Matter Demolition","Number 69: Heraldry Crest - Dark Matter Demolition",Unlimited,"25 January 2025","Not yet released",,,
"Diabellze the White Witch","Diabellze the White Witch",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Dogurado the Moving Stone Relic","Dogurado the Moving Stone Relic",Unlimited,"25 January 2025","Not yet released",,,
"Dragon Master Lord","Dragon Master Lord",Unlimited,"25 January 2025","Not yet released",,,
"Filia Diabell","Filia Diabell",Unlimited,"25 January 2025","Not yet released",,,
"Maliss P March Hare","Maliss <P> March Hare",Unlimited,"25 January 2025","Not yet released",,,
"Live☆Twin Lil-la Sweet","Live☆Twin Lil-la Sweet",Unlimited,"25 January 2025","Not yet released",,,
SA.I.dekick,SA.I.dekick,Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Sinless Sinful Spoils","Sinless Sinful Spoils",Unlimited,"25 January 2025","Not yet released",,,
"Wight Master","Wight Master",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Birth","Regenesis Birth",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"NT8000 - SIRIUS","NT8000 - SIRIUS",Unlimited,"25 January 2025","Not yet released",,,
"Evil HERO Vicious Claws","Evil HERO Vicious Claws",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Warrior","Regenesis Warrior",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Bomber Place","Bomber Place",Unlimited,"25 January 2025","Not yet released",,,
"Kuribon the Fairy Spirit","Kuribon the Fairy Spirit",Unlimited,"25 January 2025","Not yet released",,,
"Chasma, Dragon Ruler of Auroras","Chasma, Dragon Ruler of Auroras",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Backup @Ignister","Backup @Ignister",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Heraldry Flash","Heraldry Flash",Unlimited,"25 January 2025","Not yet released",,,
"Azamina (card)",Azamina,Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Regenesis Warrior Beresheet","Regenesis Warrior Beresheet",Unlimited,"25 January 2025","Not yet released",,,
"Argostars - Fierce Parthe","Argostars - Fierce Parthe",Unlimited,"25 January 2025","Not yet released",,,
"Diabellstar Vengeance","Diabellstar Vengeance",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Maliss in the Mirror","Maliss in the Mirror",Unlimited,"25 January 2025","Not yet released",,,
"Accode Talker @Ignister","Accode Talker @Ignister",Unlimited,"25 January 2025","Not yet released",,,
"Evil★Twin Ki-sikil Deal","Evil★Twin Ki-sikil Deal",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Lord","Regenesis Lord",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Witches of the White Forest","Witches of the White Forest",Unlimited,"25 January 2025","Not yet released",,,
"Disaster, Dragon Ruler of Paranormalities","Disaster, Dragon Ruler of Paranormalities",Unlimited,"25 January 2025","Not yet released",,,
"Philia Regis","Philia Regis",Unlimited,"25 January 2025","Not yet released",,,
"Materiactor Meltthrough","Materiactor Meltthrough",Unlimited,"25 January 2025","Not yet released",,,
"Serpent Night Dragon, the Wicked Dragon","Serpent Night Dragon, the Wicked Dragon",Unlimited,"25 January 2025","Not yet released",,,
"Regenesis Sage","Regenesis Sage",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"Do it Early, Do it Together","Do it Early, Do it Together",Unlimited,"25 January 2025","Not yet released",,,
"Ancient Fairy Life Dragon","Ancient Fairy Life Dragon",Unlimited,"25 January 2025","Not yet released",,,
"Eclipse, Dragon Ruler of Catastrophes","Eclipse, Dragon Ruler of Catastrophes",Unlimited,"25 January 2025","Not yet released","1 May 2025",,
"The Psalms of Kings","The Psalms of Kings",Unlimited,"25 January 2025","Not yet released",,,
"Kurikulink @Ignister","Kurikulink @Ignister",Unlimited,"25 January 2025","Not yet released",,,
"Heraldic Beast Stad Whale","Heraldic Beast Stad Whale",Unlimited,"25 January 2025","Not yet released",,,
"Shadow Severing Strike","Shadow Severing Strike","Not yet released",,Unlimited,"23 January 2025",,
"Mitsurugi no Mikoto, Saji","Mitsurugi no Mikoto, Saji","Not yet released",,Unlimited,"23 January 2025",,
"D.D. Post","D.D. Post","Not yet released",,Unlimited,"23 January 2025",,
"Futsu no Mitama no Mitsurugi","Futsu no Mitama no Mitsurugi","Not yet released",,Unlimited,"23 January 2025",,
"Vulcarrion the Rotting Phoenix","Vulcarrion the Rotting Phoenix","Not yet released",,Unlimited,"23 January 2025",,
"Ame no Murakumo no Mitsurugi","Ame no Murakumo no Mitsurugi","Not yet released",,Unlimited,"23 January 2025",,
"Beast of Talwar - The Sword Summit","Beast of Talwar - The Sword Summit","Not yet released",,Unlimited,"23 January 2025",,
"Mitsurugi no Mikoto, Kusanagi","Mitsurugi no Mikoto, Kusanagi","Not yet released",,Unlimited,"23 January 2025",,
Minimalian,Minimalian,"Not yet released",,Unlimited,"23 January 2025",,
"Mitsurugi Prayers","Mitsurugi Prayers","Not yet released",,Unlimited,"23 January 2025",,
"Curse of the Ancient Turtle","Curse of the Ancient Turtle","Not yet released",,Unlimited,"23 January 2025",,
"The Toil of the Normal","The Toil of the Normal","Not yet released",,Unlimited,"23 January 2025",,
"Mitsurugi Ritual","Mitsurugi Ritual","Not yet released",,Unlimited,"23 January 2025",,
"Dark Necromancer","Dark Necromancer","Not yet released",,Unlimited,"23 January 2025",,
"Ripple Bird","Ripple Bird","Not yet released",,Unlimited,"23 January 2025",,
"Mitsurugi Great Purification","Mitsurugi Great Purification","Not yet released",,Unlimited,"23 January 2025",,
Ukanomitsune-no-Tamayura,Ukanomitsune-no-Tamayura,Unlimited,"21 January 2025","Not yet released",,,
"Pesanta the Troubadour Deity","Pesanta the Troubadour Deity",Unlimited,"1 January 2025","Not yet released",,,
"Wonko, Noble Knight of the Forest","Wonko, Noble Knight of the Forest",Unlimited,"21 December 2024","Not yet released",,,
"Dragonmaid Stern","Dragonmaid Stern",Unlimited,"21 December 2024","Not yet released",,,
"Ice Doll","Ice Doll",Unlimited,"21 December 2024","Not yet released",,,
"Crowley, the Gifted of Magistus","Crowley, the Gifted of Magistus",Unlimited,"21 December 2024","Not yet released",,,
"P.U.N.K. JAM FEVER!","P.U.N.K. JAM FEVER!",Unlimited,"21 December 2024","Not yet released",,,
"Number S37: Spider Shark","Number S37: Spider Shark",Unlimited,"21 December 2024","Not yet released",,,
"Scrap Garage","Scrap Garage",Unlimited,"21 December 2024","Not yet released",,,
"Shadow Trouble","Shadow Trouble",Unlimited,"21 December 2024","Not yet released",,,
"Lady's Dragonmaid","Lady's Dragonmaid",Unlimited,"21 December 2024","Not yet released",,,
"Ice Doll Mirror","Ice Doll Mirror",Unlimited,"21 December 2024","Not yet released",,,
"Verre Magic - Lacrima of Light","Verre Magic - Lacrima of Light",Unlimited,"21 December 2024","Not yet released",,,
Festiballoon,Festiballoon,Unlimited,"21 December 2024","Not yet released",,,
"Number S38: Titanic Galaxy","Number S38: Titanic Galaxy",Unlimited,"21 December 2024","Not yet released",,,
"Zoroa, the Magistus Victorious Verethragna","Zoroa, the Magistus Victorious Verethragna",Unlimited,"21 December 2024","Not yet released",,,
"Twin Pillars of Ice","Twin Pillars of Ice",Unlimited,"21 December 2024","Not yet released",,,
"D/D Count Surveyor","D/D Count Surveyor",Unlimited,"21 December 2024","Not yet released",,,
"Secret Stash Slipshod Squirrel","Secret Stash Slipshod Squirrel",Unlimited,"21 December 2024","Not yet released",,,
"Fairy Tale Prologue: Journey's Dawn","Fairy Tale Prologue: Journey's Dawn",Unlimited,"21 December 2024","Not yet released",,,
"Magia Magic - Thor Hammer","Magia Magic - Thor Hammer",Unlimited,"21 December 2024","Not yet released",,,
"Enlilgirsu, the Orcust Mekk-Knight","Enlilgirsu, the Orcust Mekk-Knight",Unlimited,"21 December 2024","Not yet released",,,
"Revelation of Hope","Revelation of Hope",Unlimited,"21 December 2024","Not yet released",,,
"D/D Scale Surveyor","D/D Scale Surveyor",Unlimited,"21 December 2024","Not yet released",,,
"Bazoo the Soul Eater Beast","Bazoo the Soul Eater Beast",Unlimited,"21 December 2024","Not yet released",,,
"Motor Kaiser","Motor Kaiser",Unlimited,"21 December 2024","Not yet released",,,
"Bat, the Forest Ninja","Bat, the Forest Ninja",Unlimited,"21 December 2024","Not yet released",,,
"D/D Extra Surveyor","D/D Extra Surveyor",Unlimited,"21 December 2024","Not yet released",,,
"Galatea-i, the Orcust Automaton","Galatea-i, the Orcust Automaton",Unlimited,"21 December 2024","Not yet released",,,
"Noh-P.U.N.K. Rising Scale","Noh-P.U.N.K. Rising Scale",Unlimited,"21 December 2024","Not yet released",,,
"Galaxy Journey","Galaxy Journey",Unlimited,"21 December 2024","Not yet released",,,
"Two-for-One Repair Job","Two-for-One Repair Job",Unlimited,"21 December 2024","Not yet released",,,
Shateki,Shateki,Unlimited,"21 December 2024","Not yet released",,,
"Endymion, the Crescent of Magistus","Endymion, the Crescent of Magistus",Unlimited,"20 December 2024","Not yet released",,,
"Steam Knight - BULLauncher","Steam Knight - BULLauncher",Unlimited,"3 December 2024","Not yet released",,,
"Fabledswarm Leverzebul","Fabledswarm Leverzebul",Unlimited,"23 November 2024","Not yet released",,,
"Fabled Gamygyn","Fabled Gamygyn",Unlimited,"23 November 2024","Not yet released",,,
"Gem-Knight Master Diamond Dispersion","Gem-Knight Master Diamond Dispersion",Unlimited,"23 November 2024","Not yet released",,,
"Gem-Knight Nepyrim","Gem-Knight Nepyrim",Unlimited,"23 November 2024","Not yet released",,,
"Gem-Knight Hollowcore","Gem-Knight Hollowcore",Unlimited,"23 November 2024","Not yet released",,,
"Jurrac Megalo","Jurrac Megalo",Unlimited,"23 November 2024","Not yet released",,,
"Jurrac Stigo","Jurrac Stigo",Unlimited,"23 November 2024","Not yet released",,,
"Jurrac Astero","Jurrac Astero",Unlimited,"23 November 2024","Not yet released",,,
"Gem-Knight Dispersion","Gem-Knight Dispersion",Unlimited,"23 November 2024","Not yet released",,,
"Fabled Realm Resurrection","Fabled Realm Resurrection",Unlimited,"23 November 2024","Not yet released",,,
"Avance, Swordsman of the Nekroz","Avance, Swordsman of the Nekroz",Unlimited,"23 November 2024","Not yet released",,,
"The Fabled Behillmoth","The Fabled Behillmoth",Unlimited,"23 November 2024","Not yet released",,,
"Jurrac Volcano","Jurrac Volcano",Unlimited,"23 November 2024","Not yet released",,,
"Emilia, Dance Priestess of the Nekroz","Emilia, Dance Priestess of the Nekroz",Unlimited,"23 November 2024","Not yet released",,,
"Nekroz Divinemirror","Nekroz Divinemirror",Unlimited,"23 November 2024","Not yet released",,,
"Nekroz of Metaltron","Nekroz of Metaltron",Unlimited,"23 November 2024","Not yet released",,,
